ID	labels	Multiple labels
__id__1-syndicate	A1 (argumentative)	
__id__2-syndicate	A1 (argumentative)	
__id__3-syndicate	A1 (argumentative)	
__id__4-syndicate	A1 (argumentative)	
__id__5-syndicate	A1 (argumentative)	
__id__6-syndicate	A1 (argumentative)	
__id__7-syndicate	A1 (argumentative)	
__id__8-syndicate	A1 (argumentative)	
__id__9-syndicate	A1 (argumentative)	
__id__10-syndicate	A1 (argumentative)	
__id__11-syndicate	A1 (argumentative)	
__id__12-syndicate	A1 (argumentative)	
__id__13-syndicate	A1 (argumentative)	
__id__14-syndicate	A1 (argumentative)	
__id__15-syndicate	A1 (argumentative)	
__id__16-syndicate	A1 (argumentative)	
__id__17-syndicate	A1 (argumentative)	
__id__18-syndicate	A1 (argumentative)	
__id__19-syndicate	A1 (argumentative)	
__id__20-syndicate	A1 (argumentative)	
__id__21-syndicate	A1 (argumentative)	
__id__22-syndicate	A1 (argumentative)	
__id__23-syndicate	A1 (argumentative)	
__id__24-syndicate	A1 (argumentative)	
__id__25-syndicate	A1 (argumentative)	
__id__26-syndicate	A1 (argumentative)	
__id__27-syndicate	A1 (argumentative)	
__id__28-Bib1Amos_Prophecy_12_EN.txt	A4 (fiction)	
__id__29-Bib1Amos_Prophecy_89_EN.txt	A1 (argumentative)A4 (fiction)	y
__id__30-Bib1Ezra_History_12_EN.txt	A4 (fiction)	
__id__31-Bib1Joel_Prophecy_12_EN.txt	A1 (argumentative)A4 (fiction)	y
__id__32-Bib1Ruth_History_12_EN.txt	A4 (fiction)	
__id__33-Bib2John_Gospel_12_EN.txt	A4 (fiction)	
__id__34-Bib2Jude_Epistle_1_EN.txt	A1 (argumentative)	
__id__35-Bib2Luke_Acts_12_EN.txt	A1 (argumentative)A4 (fiction)	y
__id__36-Bib2Luke_Acts_2728_EN.txt	A1 (argumentative)A4 (fiction)	y
__id__37-Bib2Luke_Gospel_12_EN.txt	A4 (fiction)	
__id__38-Bib2Mark_Gospel_12_EN.txt	A4 (fiction)	
__id__39-CorpApple_Environment_EN.txt	A12 (promotion)	
__id__40-CorpHandM_Quality_EN.txt	A7 (instruction)A12 (promotion)	y
__id__41-CorpHandM_Responsibility_EN.txt	A12 (promotion)	
__id__42-CorpHP_Objectives_EN.txt	A12 (promotion)	
__id__43-CorpJaguar_Sustainability_EN.txt	A12 (promotion)	
__id__44-CorpZara_Environment_EN.txt	A12 (promotion)	
__id__45-FictAndersenH_Mermaid_EN.txt	A4 (fiction)	
__id__46-FictAndersenH_Ugly_EN.txt	A4 (fiction)	
__id__47-FictBalzacH_Goriot_Ia_EN.txt	A4 (fiction)	
__id__48-FictBalzacH_Goriot_Ib_EN.txt	A4 (fiction)	
__id__49-FictBronteC_JaneEyre_33_EN.txt	A4 (fiction)	
__id__50-FictBronteC_JaneEyre_6_EN.txt	A4 (fiction)	
__id__51-FictCarrollL_Wonderland_2_EN.txt	A4 (fiction)	
__id__52-FictCarrollL_Wonderland_5_EN.txt	A4 (fiction)	
__id__53-FictDostoyevskyF_CrimePun_ep_EN.txt	A4 (fiction)	
__id__54-FictDostoyevskyF_CrimePun_II2_EN.txt	A4 (fiction)	
__id__55-FictDumasAp_3Musk_11_EN.txt	A4 (fiction)	
__id__56-FictDumasAp_3Musk_2_EN.txt	A4 (fiction)	
__id__57-FictFlaubertG_Bovary_I5_EN.txt	A4 (fiction)	
__id__58-FictFlaubertG_Bovary_III3_EN.txt	A4 (fiction)	
__id__59-FictFlaubertG_Salammbo_11_EN.txt	A4 (fiction)	
__id__60-FictFlaubertG_Salammbo_2_EN.txt	A4 (fiction)	
__id__61-FictGrimmJ_Bremusicians_EN.txt	A4 (fiction)	
__id__62-FictGrimmJ_HanselGretel_EN.txt	A4 (fiction)	
__id__63-FictHugoV_Hunchback_II5_EN.txt	A4 (fiction)	
__id__64-FictHugoV_Hunchback_IV3_EN.txt	A4 (fiction)	
__id__65-FictPoeE_Purloined_EN.txt	A4 (fiction)	
__id__66-FictPoeE_Usher_EN.txt	A4 (fiction)	
__id__67-FictTolstoyL_AnnaK_I10_EN.txt	A4 (fiction)	
__id__68-FictTolstoyL_AnnaK_I11_EN.txt	A4 (fiction)	
__id__69-FictTolstoyL_WarPeace_I16_EN.txt	A4 (fiction)	
__id__70-FictTolstoyL_WarPeace_I2_EN.txt	A4 (fiction)	
__id__71-FictWildeO_Dorian_18_EN.txt	A4 (fiction)	
__id__72-FictWildeO_Dorian_8_EN.txt	A4 (fiction)	
__id__73-FictZolaE_Germinal_II4_EN.txt	A4 (fiction)	
__id__74-FictZolaE_Germinal_VII2_EN.txt	A4 (fiction)	
__id__75-MarxMarxK_ComMan_01_EN.txt	A1 (argumentative)	
__id__76-MarxMarxK_ComMan_24_EN.txt	A1 (argumentative)	
__id__77-MarxMarxK_Feuerbach_EN.txt	A1 (argumentative)	
__id__78-MarxMarxK_GothaProg_EN.txt	A1 (argumentative)	
__id__79-MarxMarxK_JewishQ_EN.txt	A1 (argumentative)	
__id__80-NewsEnnajiM_Maghreb_EN.txt	A8 (news)	
__id__81-NewsGoalcom_MessiTop50_EN.txt	A8 (news)	
__id__82-NewsGueyeA_BlackPete_EN.txt	A1 (argumentative)	
__id__83-NewsLeM_OrbanGoldmanSachs_EN.txt	A8 (news)	
__id__84-NewsMendesFrancoJ_HaitiBeyondCapital_EN.txt	A8 (news)	
__id__85-NewsMillerH_FrankensteinTradition_EN.txt	A1 (argumentative)A16 (information)	y
__id__86-NewsRabinovichI_IranNuclear_EN.txt	A1 (argumentative)A8 (news)	y
__id__87-NewsRian_IranCutsOil_EN.txt	A8 (news)	
__id__88-NewsRian_MedvedevDismisses_EN.txt	A8 (news)	
__id__89-NewsWiki_KaradzicArrest_EN.txt	A8 (news)	
__id__90-OpacStallman_FreeSoft_EN.txt	A1 (argumentative)	
__id__91-OpacTeam_Berlin_EN.txt	A1 (argumentative)	
__id__92-OpacTeam_Budapest_EN.txt	A1 (argumentative)	
__id__93-TediAndersonEt_NuclearEnergy_EN.txt	A1 (argumentative)	
__id__94-TediBelcherA_Batteries_EN.txt	A11 (personal)A16 (information)	y
__id__95-TediGellMannM_Lang_EN.txt	A1 (argumentative)	
__id__96-TediJakubowskiM_OpenTech_EN.txt	A1 (argumentative)A11 (personal)	y
__id__97-TediJordanC_ShockStats_EN.txt	A1 (argumentative)	
__id__98-TediMcKeanE_Dict_EN.txt	A1 (argumentative)A11 (personal)	y
__id__99-TediMillerA_News_EN.txt	A1 (argumentative)	
__id__100-TediNatchweyJ_WarPhotos_EN.txt	A11 (personal)	
__id__101-TediOConnellA_Quantum_EN.txt	A11 (personal)	
__id__102-TediRoslingH_Poverty_EN.txt	A1 (argumentative)	
__id__103-TediSinclairC_OpenArchitech_EN.txt	A11 (personal)	
__id__104-TeleHTC_Manual_0_EN.txt	A7 (instruction)A9 (legal)	y
__id__105-TeleHTC_Manual_10_EN.txt	A7 (instruction)	
__id__106-TeleHTC_Manual_11_EN.txt	A7 (instruction)	
__id__107-TeleHTC_Manual_12_EN.txt	A7 (instruction)	
__id__108-TeleHTC_Manual_13_EN.txt	A7 (instruction)	
__id__109-TeleHTC_Manual_1_EN.txt	A7 (instruction)	
__id__110-TeleHTC_Manual_2_EN.txt	A7 (instruction)	
__id__111-TeleHTC_Manual_3_EN.txt	A7 (instruction)	
__id__112-TeleHTC_Manual_4_EN.txt	A7 (instruction)	
__id__113-TeleHTC_Manual_5_EN.txt	A7 (instruction)	
__id__114-TeleHTC_Manual_6_EN.txt	A7 (instruction)	
__id__115-TeleHTC_Manual_7_EN.txt	A7 (instruction)	
__id__116-TeleHTC_Manual_8_EN.txt	A7 (instruction)	
__id__117-TeleHTC_Manual_9_EN.txt	A7 (instruction)	
__id__118-TeliApple_iPhone4_EN.txt	A7 (instruction)	
__id__119-TelsGoog_Answer_0545_EN.txt	A7 (instruction)	
__id__120-TelsGoog_Answer_0a46_EN.txt	A7 (instruction)	
__id__121-TelsGoog_Answer_0bcf_EN.txt	A7 (instruction)	
__id__122-TelsGoog_Answer_1851_EN.txt	A7 (instruction)	
__id__123-TelsGoog_Answer_1b37_EN.txt	A7 (instruction)	
__id__124-TelsGoog_Answer_2feb_EN.txt	A7 (instruction)	
__id__125-TelsGoog_Answer_3024_EN.txt	A7 (instruction)	
__id__126-TelsGoog_Answer_4b5b_EN.txt	A7 (instruction)	
__id__127-TelsGoog_Answer_596f_EN.txt	A7 (instruction)	
__id__128-TelsGoog_Answer_5b4c_EN.txt	A7 (instruction)	
__id__129-TelsGoog_Answer_70d7_EN.txt	A7 (instruction)	
__id__130-TelsGoog_Answer_770f_EN.txt	A7 (instruction)	
__id__131-TelsGoog_Answer_91e4_EN.txt	A7 (instruction)	
__id__132-TelsGoog_Answer_94d0_EN.txt	A7 (instruction)	
__id__133-TelsGoog_Answer_a67e_EN.txt	A7 (instruction)	
__id__134-UnitGass_Resolution_62250_EN.txt	A9 (legal)	
__id__135-UnitUnat_Charter_EN.txt	A1 (argumentative)A9 (legal)	y
__id__136-UnitUnat_HumanRights_EN.txt	A1 (argumentative)A9 (legal)	y
